id,time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,amount,classValue
0,0,-1.3598071336738,-0.0727811733098497,2.53634673796914,1.37815522427443,-0.33832076994251803,0.462387777762292,0.239598554061257,0.0986979012610507,0.363786969611213,0.0907941719789316,-0.551599533260813,-0.617800855762348,-0.991389847235408,-0.31116935369987897,1.46817697209427,-0.47040052525947795,0.20797124192924202,0.0257905801985591,0.403992960255733,0.251412098239705,-0.018306777944153,0.277837575558899,-0.110473910188767,0.0669280749146731,0.12853935827352803,-0.189114843888824,0.13355837674038698,-0.0210530534538215,149.62,0
1,0,1.1918571113148602,0.26615071205963,0.16648011335321,0.448154078460911,0.0600176492822243,-0.0823608088155687,-0.0788029833323113,0.0851016549148104,-0.255425128109186,-0.16697441400461402,1.6127266610547901,1.06523531137287,0.48909501589608,-0.143772296441519,0.635558093258208,0.463917041022171,-0.114804663102346,-0.18336127012399397,-0.14578304132525902,-0.0690831352230203,-0.225775248033138,-0.6386719527718511,0.10128802125323402,-0.33984647552912706,0.167170404418143,0.125894532368176,-0.00898309914322813,0.0147241691924927,2.69,0
2,1,-1.35835406159823,-1.3401630747360902,1.77320934263119,0.3797795930343279,-0.503198133318193,1.80049938079263,0.7914609564504219,0.24767578658899103,-1.5146543226058302,0.207642865216696,0.6245014594248951,0.06608368526883099,0.7172927314108309,-0.165945922763554,2.34586494901581,-2.8900831944423104,1.10996937869599,-0.12135931319588801,-2.26185709530414,0.524979725224404,0.247998153469754,0.771679401917229,0.9094122623477191,-0.689280956490685,-0.3276418337352511,-0.139096571514147,-0.0553527940384261,-0.0597518405929204,378.66,0
3,1,-0.9662717115720871,-0.185226008082898,1.79299333957872,-0.863291275036453,-0.0103088796030823,1.24720316752486,0.23760893977178,0.377435874652262,-1.38702406270197,-0.0549519224713749,-0.22648726383540102,0.178228225877303,0.507756869957169,-0.28792374549456,-0.631418117709045,-1.0596472454324999,-0.684092786345479,1.96577500349538,-1.2326219700892,-0.208037781160366,-0.108300452035545,0.0052735967825345295,-0.190320518742841,-1.1755753318632098,0.647376034602038,-0.22192884445840697,0.0627228487293033,0.0614576285006353,123.5,0
4,2,-1.1582330934952298,0.8777367548484508,1.548717846511,0.40303393395512105,-0.40719337731165295,0.0959214624684256,0.5929407453855451,-0.27053267719228197,0.8177393082352941,0.7530744319763539,-0.8228428779463629,0.53819555014995,1.3458515932154,-1.11966983471731,0.175121130008994,-0.451449182813529,-0.237033239362776,-0.0381947870352842,0.803486924960175,0.40854236039275804,-0.009430697132329191,0.7982784945897099,-0.13745807961906303,0.14126698382476902,-0.20600958761975602,0.502292224181569,0.219422229513348,0.21515314749920603,69.99,0
5,2,-0.425965884412454,0.960523044882985,1.1411093423221899,-0.16825207976030201,0.42098688077219004,-0.0297275516639742,0.47620094872002705,0.260314333074874,-0.56867137571251,-0.371407196834471,1.3412619800195702,0.35989383703803896,-0.35809065257363104,-0.13713370021761198,0.517616806555742,0.401725895589603,-0.0581328233640131,0.0686531494425432,-0.0331937877876282,0.0849676720682049,-0.20825351465672798,-0.5598247962532479,-0.0263976679795373,-0.371426583174346,-0.23279381673703398,0.10591477909795698,0.253844224739337,0.0810802569229443,3.67,0
6,4,1.22965763450793,0.141003507049326,0.0453707735899449,1.20261273673594,0.19188098859764496,0.272708122899098,-0.005159002882509829,0.0812129398830894,0.464959994783886,-0.0992543211289237,-1.41690724314928,-0.15382582625365102,-0.75106271556262,0.16737196252175,0.0501435942254188,-0.44358679791672706,0.00282051247234708,-0.61198733994012,-0.0455750446637976,-0.21963255278685997,-0.167716265815783,-0.270709726172363,-0.15410378680930498,-0.7800554150046709,0.75013693580659,-0.25723684591713897,0.0345074297438413,0.0051677689062491605,4.99,0
7,7,-0.644269442348146,1.4179635454738502,1.0743803763556,-0.49219901849501496,0.9489340947641569,0.428118462833089,1.1206313583835301,-3.8078642387358905,0.615374730667027,1.24937617815176,-0.6194677961219129,0.291474353088705,1.75796421396042,-1.32386521970526,0.686132504394383,-0.0761269994382006,-1.2221273453247,-0.35822156986907794,0.32450473132149393,-0.156741852488285,1.94346533978412,-1.01545470979971,0.057503529867290994,-0.6497090055599929,-0.415266566234811,-0.0516342969262494,-1.20692108094258,-1.08533918832377,40.8,0
8,7,-0.8942860822028199,0.286157196276544,-0.113192212729871,-0.271526130088604,2.6695986595986,3.7218180611275096,0.37014512767691604,0.851084443200905,-0.39204758679860396,-0.410430432848439,-0.7051165866465359,-0.11045226173309801,-0.286253632470583,0.0743553603016731,-0.328783050303565,-0.21007726814878303,-0.4997679688002671,0.11876486100421699,0.57032816746536,0.0527356691149697,-0.0734251001059225,-0.26809163223555105,-0.204232669947878,1.0115918018785,0.373204680146282,-0.384157307702294,0.0117473564581996,0.14240432992147,93.2,0
9,9,-0.33826175242574996,1.11959337641566,1.04436655157316,-0.222187276738296,0.49936080649727,-0.24676110061991,0.651583206489972,0.0695385865186387,-0.736727316364109,-0.366845639206541,1.01761446783262,0.836389570307029,1.0068435137340799,-0.44352281687614203,0.15021910142263503,0.7394527770521191,-0.540979921943059,0.47667726004281996,0.45177296439412495,0.20371145472792898,-0.24691393691000801,-0.633752642406113,-0.12079408408185001,-0.385049925313426,-0.0697330460416923,0.0941988339514961,0.24621930461992603,0.0830756493473326,3.68,0
10,10,1.4490437811471497,-1.1763388253596598,0.913859832832795,-1.3756666549994299,-1.97138316545323,-0.62915213889734,-1.4232356010358997,0.0484558879088564,-1.7204083929203702,1.62665905834133,1.1996439495421,-0.671439778462005,-0.513947152539479,-0.0950450453999549,0.230930409124119,0.0319674667862076,0.253414715863197,0.854343814324194,-0.221365413645481,-0.387226474431156,-0.009301896524900521,0.31389441079109803,0.0277401580170247,0.500512287104917,0.25136735874920996,-0.12947795372661802,0.0428498709381461,0.0162532619375515,7.8,0